更新时间,#genre#
20251013 18:32,https://d.kstore.dev/download/8880/%E5%85%AC%E5%91%8A.mp4
关于本源(塔利班维护),https://v.cdnlz12.com/20250131/18183_a5e8965b/index.m3u8

其他频道,#genre#
凤凰香港,http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.flv
中旺电视,http://38.64.72.148:80/hls/modn/list/4010/chunklist1.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
20251013 04:19,https://d.kstore.dev/download/8880/%E5%85%AC%E5%91%8A.mp4
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
动物星球国,http://61.221.215.25:8800/hls/57/index.m3u8
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8?txiptv&playlive
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
tvbs闽南,http://61.221.215.25:8800/hls/9/index.m3u8
重温经典,http://112.27.235.94:8000/hls/50/index.m3u8
台视综合,http://123.51.136.80:8316/0.ts
中视,http://123.51.136.80:8301/0.ts
ATV[1280x720],http://116.202.238.88/ATV_TR/tracks-v1a1/index.m3u8
CHC家庭影院,http://113.195.172.192:808/hls/113/index.m3u8
经典电影,http://58.19.43.46:9901/tsfile/live/1012_1.m3u8
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
CHC动作电影,http://113.195.172.192:808/hls/114/index.m3u8
CHC影迷电影,http://113.195.172.192:808/hls/112/index.m3u8
CHC家庭影院,http://113.195.172.192:808/hls/113/index.m3u8
CHC影迷电影,http://113.195.172.192:808/hls/112/index.m3u8
CHC家庭影院,http://117.13.23.164:4022/udp/225.1.1.213:5002
喜剧影院,http://114.246.181.35:4022/udp/239.3.1.91:4120
CHC动作电影,http://113.195.172.192:808/hls/114/index.m3u8
动作影院,http://114.246.181.35:4022/udp/239.3.1.92:4120
CN卡通,http://125.227.210.55:8167/VideoInput/play.ts
1905国内电影,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
华视,http://123.51.136.80:8317/0.ts
CHC动作电影,http://58.19.180.108:9981/stream/channelid/1782708396?profile=pass
CHC影迷电影,http://58.19.180.108:9981/stream/channelid/473633391?profile=pass
峨眉电影4K,http://60.255.72.119:4022//udp/239.132.1.87:5000
关于本源(塔利班维护),https://v.cdnlz12.com/20250131/18183_a5e8965b/index.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
经典电影,http://114.246.181.35:4022/udp/239.3.1.195:9024
公视,http://123.51.136.80:8305/0.ts
NewTV纪实科教,http://120.76.248.139/live/bfgd/4200000113.m3u8
动作影院,http://220.176.218.102:9000/udp/239.252.220.85:5140
经典电影,http://220.176.218.102:9000/udp/239.252.220.139:5140
重温经典,http://120.76.248.139/live/bfgd/4200000636.m3u8
成龙,https://stream1.freetv.fun/cheng-long-1.m3u8
洪金宝,https://stream1.freetv.fun/hong-jin-bao-2.m3u8
洪金宝,https://stream1.freetv.fun/hong-jin-bao-4.ctv
洪金宝,https://stream1.freetv.fun/hong-jin-bao-4.m3u8
龙华电影,https://stream1.freetv.fun/long-hua-dian-ying-8.m3u8
龙华电影,https://stream1.freetv.fun/long-hua-dian-ying-6.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-7.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-1.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-3.m3u8
东方影视,https://stream1.freetv.fun/dong-fang-ying-shi-7.m3u8
台视,http://123.51.136.80:8313/0.ts
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$LR•IPV4『线路8』
龙华卡通,https://stream1.freetv.fun/long-hua-qia-tong-2.m3u8
纬来日本,https://stream1.freetv.fun/wei-lai-ri-ben-7.ctv
东森洋片,https://stream1.freetv.fun/dong-sen-yang-pian-3.m3u8
龙华偶像,https://stream1.freetv.fun/long-hua-ou-xiang-4.m3u8
台视,https://stream1.freetv.fun/tai-shi-6.m3u8
中视,https://stream1.freetv.fun/zhong-shi-6.m3u8
中天新闻,http://222.128.55.152:9080/live/fc.m3u8
寰宇新闻,http://222.128.55.152:9080/live/hy.m3u8
台视新闻,http://222.128.55.152:9080/live/ts.m3u8
澳视资讯[1920x1080],http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
澳视卫星[1920x1080],http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8
澳视Macau[1920x1080],http://103.233.191.133:1935/ch3/ch3.live/playlist.m3u8
澳视澳门,http://103.233.191.132:1935/ch1/ch1.live/playlist.m3u8
澳视葡文[1920x1080],http://103.233.191.134:1935/ch2/ch2.live/playlist.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
金鹰卡通,http://113.15.109.216:59901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
新加坡国际,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
甄子丹,https://stream1.freetv.fun/zhen-zi-dan-dian-ying-1.ctv
甄子丹,https://stream1.freetv.fun/zhen-zi-dan-2.m3u8
甄子丹,https://stream1.freetv.fun/zhen-zi-dan-dian-ying-4.ctv
AMC电影,https://stream1.freetv.fun/amcdian-ying-1.m3u8
东方影视,https://stream1.freetv.fun/dong-fang-ying-shi-12.m3u8
NewTV古装剧场,http://114.246.181.35:4022/udp/239.3.1.69:4120
DAZN2,https://stream1.freetv.fun/dazn-sport-2-1.ctv
CN卡通,https://stream1.freetv.fun/cnqia-tong-1.ctv
HBO,https://stream1.freetv.fun/hbo-11.m3u8
龙华戏剧,https://stream1.freetv.fun/long-hua-xi-ju-1.m3u8
纬来综合,https://stream1.freetv.fun/wei-lai-zong-he-1.ctv
爱尔达影剧,https://stream1.freetv.fun/ai-er-da-ying-ju-2.m3u8
纬来电影,https://stream1.freetv.fun/wei-lai-dian-ying-3.m3u8
龙华戏剧,https://stream1.freetv.fun/long-hua-xi-ju-6.m3u8
纬来电影,https://stream1.freetv.fun/wei-lai-dian-ying-1.m3u8
华视,https://stream1.freetv.fun/hua-shi-4.m3u8
中视,https://stream1.freetv.fun/zhong-shi-8.ctv
年代新闻,https://stream1.freetv.fun/nian-dai-xin-wen-7.m3u8
成龙,https://stream1.freetv.fun/cheng-long-2.m3u8
刘德华,https://stream1.freetv.fun/liu-de-hua-5.m3u8
刘德华,https://stream1.freetv.fun/liu-de-hua-1.m3u8
龙华电影,https://stream1.freetv.fun/long-hua-dian-ying-5.m3u8
东方影视,https://stream1.freetv.fun/ipv6-dong-fang-ying-shi-8.m3u8
五星体育,https://stream1.freetv.fun/ipv6-wu-xing-ti-yu-7.m3u8
周星驰,https://stream1.freetv.fun/zhou-xing-chi-2.m3u8
周星驰,https://stream1.freetv.fun/zhou-xing-chi-1.m3u8
龙华偶像,https://stream1.freetv.fun/long-hua-ou-xiang-2.ctv
寰宇新闻,https://stream1.freetv.fun/huan-yu-xin-wen-1.m3u8
翡翠台,http://36.36.200.198:44330/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
TVB明珠台,http://36.36.200.198:44330/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
动物星球,https://stream1.freetv.fun/dong-wu-xing-qiu-1.m3u8
HBO,https://stream1.freetv.fun/hbo-9.m3u8
动物星球,https://stream1.freetv.fun/dong-wu-xing-qiu-4.m3u8
靖天卡通,https://stream1.freetv.fun/jing-tian-qia-tong-1.m3u8
HBO,https://stream1.freetv.fun/hbo-14.m3u8
东森洋片,https://stream1.freetv.fun/dong-sen-yang-pian-6.ctv
东森超视34.5,https://stream1.freetv.fun/dong-sen-chao-shi-34-5-1.m3u8
龙华洋片,https://stream1.freetv.fun/long-hua-yang-pian-4.m3u8
公视,https://stream1.freetv.fun/gong-shi-2.ctv
华视,https://stream1.freetv.fun/hua-shi-7.ctv
台视综合,https://stream1.freetv.fun/tai-shi-zong-he-1.ctv
台视,https://stream1.freetv.fun/tai-shi-5.ctv
纬来电影,https://stream1.freetv.fun/wei-lai-dian-ying-3.ctv
龙华日韩,https://stream1.freetv.fun/long-hua-ri-han-3.m3u8
五星体育,http://8.138.7.223/tv/shtv.php?id=wxty
龙华经典,https://stream1.freetv.fun/long-hua-jing-dian-5.m3u8
靖天电影,http://live4play.uk/livehttpplay?channel_id=12037
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
东森洋片,http://live4play.uk/livehttpplay?channel_id=20080
新片放映厅,http://gslbmgsplive.miguvideo.com/wd-virtuallive5100030975-150/index.m3u8?msisdn=20251013020029cd74617842d04c00928cd083041c6c47&mdspid=&spid=800033&netType=0&sid=5500035175&pid=2028597139&timestamp=20251013020029&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=619495952&ParentNodeID=-99&assertID=5500035175&client_ip=106.13.250.89&SecurityKey=20251013020029&promotionId=&mvid=5100030975&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=f22483921d62e265fe9691dac7d35b9b&ddCalcu=bf92eb21549380d379c2a1dd16926e92e6f5
南方影视,http://gslbmgsplive.miguvideo.com/wd_r1/2018/nfmedia/nfys/1000/index.m3u8?msisdn=20251013040035d391f40e01b64241ad90c06b30b39da3&mdspid=&spid=699054&netType=0&sid=2206173738&pid=2028597139&timestamp=20251013040035&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=614961829&ParentNodeID=-99&assertID=2206173738&client_ip=106.13.250.88&SecurityKey=20251013040035&promotionId=&mvid=2206173738&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=8ed830e95deaa46c457ad8378d72b243&ddCalcu=384ee2d1b8423070de89753d8edaaa74564c
新片放映厅,http://gslbmgsplive.miguvideo.com/wd-virtuallive5100030975-150/index.m3u8?msisdn=2025091900005472c1d1826c5d485c90d5a37a867c6e9e&mdspid=&spid=800033&netType=0&sid=5500035175&pid=2028597139&timestamp=20250919000054&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=619495952&ParentNodeID=-99&assertID=5500035175&client_ip=106.13.250.88&SecurityKey=20250919000054&promotionId=&mvid=5100030975&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=0bb5230a99344efab78e8dd888d238a9&ddCalcu=90abe8b1359220d3808a89d9d384e48e7fba
南方影视,http://gslbmgsplive.miguvideo.com/wd_r1/2018/nfmedia/nfys/1000/index.m3u8?msisdn=2025101302003065931cfa16fb49e2a323bcbfb8235137&mdspid=&spid=699054&netType=0&sid=2206173738&pid=2028597139&timestamp=20251013020030&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=614961829&ParentNodeID=-99&assertID=2206173738&client_ip=106.13.250.89&SecurityKey=20251013020030&promotionId=&mvid=2206173738&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=7baace5b6b4af5e57410d0fbcabd6d1e&ddCalcu=e71beda16a4dc0bea5cbb6fb04da0f154e75
南方影视,http://gslbmgsplive.miguvideo.com/wd_r1/2018/nfmedia/nfys/1000/index.m3u8?msisdn=202509190000558d0f2221a9114831bdcef08fc0905818&mdspid=&spid=699054&netType=0&sid=2206173738&pid=2028597139&timestamp=20250919000055&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=614961829&ParentNodeID=-99&assertID=2206173738&client_ip=106.13.250.88&SecurityKey=20250919000055&promotionId=&mvid=2206173738&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=10b8154b84d275b7b221c17819cb4cc7&ddCalcu=71c0ecb1484b10c5941b88741dc217252bb7
新片放映厅,http://gslbmgsplive.miguvideo.com/wd-virtuallive5100030975-150/index.m3u8?msisdn=202510130400344437e13f49194ed692afe7bb266c56ce&mdspid=&spid=800033&netType=0&sid=5500035175&pid=2028597139&timestamp=20251013040034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=619495952&ParentNodeID=-99&assertID=5500035175&client_ip=106.13.250.88&SecurityKey=20251013040034&promotionId=&mvid=5100030975&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4f7a57f8deb9b77769b52015c4cb63e8&ddCalcu=84efe3716a9b50c74fc85d1e0b295bb79767
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
东森戏剧,http://live4play.uk/livehttpplay?channel_id=20072
纬来体育,http://108.181.20.197/livehttpplay?channel_id=20120
梨园,http://42.225.117.174:11199/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
哈哈炫动,http://123.154.104.19:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
哈哈炫动,http://58.58.111.222:808/hls/52/index.m3u8
金鹰卡通,http://58.58.111.222:808/hls/49/index.m3u8
金鹰卡通,http://123.154.104.19:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
龙华洋片,https://cdn8.163189.xyz/live/lhyp/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
纬来体育,http://8.138.7.223/【公众号：榴芒电视】/wlty.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
