央视频道,#genre#
CCTV1,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=202509191201166bc65acd4d084e04b952be9a5db683e7&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20250919120116&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=106.13.250.90&SecurityKey=20250919120116&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=0952d44faf697fe17cd0c6a9b0df0ca3&ddCalcu=30a9ec51028fd0d404bf9aaf66c907dfce71
CCTV2,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=202509191201162635afc3620c4f2689636d2f531d5062&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20250919120116&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=106.13.250.90&SecurityKey=20250919120116&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=721e0977db72fd6d3343b845604a63db&ddCalcu=b7d2e3116e1a004907675d4b87b23f4d363d
CCTV3,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=20250919120116994a4ef5a1cd4e3182552535b58cd8c8&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20250919120116&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=106.13.250.90&SecurityKey=20250919120116&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=3eed85c761d93722c5177afa92b2a14c&ddCalcu=c34ee1e1ad4280b52c97a6f1ad79731752c2
CCTV4,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=20250919120116834197078dcf4ff8b155882347161ea7&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20250919120116&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=106.13.250.90&SecurityKey=20250919120116&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=75e54b012af1ad0fccb59ea74151bc13&ddCalcu=3715ece1b511405b104172aaef915abdc0cf
CCTV5,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=2025091912011624dda93b23ce4aeb89c1d50862e3724d&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20250919120116&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=106.13.250.90&SecurityKey=20250919120116&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=2bb6f576ad74b3aba7495a55c529c136&ddCalcu=623be1b1c619f02557c65a5da7549b437aab
CCTV5,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=202509191201165542ad155c814a88a95c0ba34424bd5e&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20250919120116&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=106.13.250.90&SecurityKey=20250919120116&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=c02643bd51e9fd48a58e037b29e173e8&ddCalcu=8ce0e321761140e39b2db5713e09ef8d54a8
CCTV6,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=20250919120116bf0c3e6d88324850b8c21e51ff14d7f6&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20250919120116&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=106.13.250.90&SecurityKey=20250919120116&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=1a8af189be911a074201a50b6baf7452&ddCalcu=215ae4817a4ff0a1b869bb0e59a1110a2047
CCTV7,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=20250919120116bc633e553b8341d29c76b0b68806b170&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20250919120116&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=106.13.250.90&SecurityKey=20250919120116&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=40ef834b2bb7733d095027212568867e&ddCalcu=e470e6e18f388063542b122b7b270753930d
CCTV8,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=202509191201164a0b44915c7746a2bcbb48c81b913c1b&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20250919120116&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=106.13.250.90&SecurityKey=20250919120116&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=70fb0900136b5d9851630e470f8bdd58&ddCalcu=8750edf1db4b0089f0007143e60b356d1958
CCTV9,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=2025091912011632ae9cf85d704bbab52dda43be4fa09a&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20250919120116&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=106.13.250.90&SecurityKey=20250919120116&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=6ef123982d25308a9d9e11491bfe4aee&ddCalcu=e6eeeaf1413e20f3b918924d1215e390d89a
