🇨🇳 4K,#genre#
北京卫视4K: https://www.shqsy.com/zgst.php?id=btv4k
东方卫视4K: https://www.shqsy.com/zgst.php?id=sh4k
江苏卫视4K: https://www.shqsy.com/zgst.php?id=js4k
浙江卫视4K: https://www.shqsy.com/zgst.php?id=zj4k
山东卫视4K: https://www.shqsy.com/zgst.php?id=sd4k
湖南卫视4K: https://www.shqsy.com/zgst.php?id=hn4k
广东卫视4K: https://www.shqsy.com/zgst.php?id=gd4k
深圳卫视4K: https://www.shqsy.com/zgst.php?id=sz4k
四川卫视4K: http://yulang132.cn:58888/udp/239.94.0.115:5140$四川电信3
湖南卫视4K: http://yulang132.cn:58888/udp/239.94.0.116:5140$四川电信3
江苏卫视4K: http://yulang132.cn:58888/udp/239.94.0.117:5140$四川电信3
浙江卫视4K: http://yulang132.cn:58888/udp/239.94.0.118:5140$四川电信3
东方卫视4K: http://yulang132.cn:58888/udp/239.94.0.119:5140$四川电信3
东方卫视4K: http://yulang132.cn:58888/udp/239.94.0.120:5140$四川电信3
广东卫视4K: http://124.116.170.138:8081/rtp/239.111.205.103:5140?$3840x2160
深圳卫视4K: http://124.116.170.138:8081/rtp/239.111.205.104:5140?$3840x2160
北京卫视4K: http://124.116.170.138:8081/rtp/239.111.205.51:5140?$3840x2160
湖南卫视4K: http://124.116.170.138:8081/rtp/239.111.205.63:5140?$3840x2160
浙江卫视4K: http://124.116.170.138:8081/rtp/239.111.205.65:5140?$3840x2160
江苏卫视4K: http://124.116.170.138:8081/rtp/239.111.205.64:5140?$3840x2160
东方卫视4K: http://124.116.170.138:8081/rtp/239.111.205.67:5140?$3840x2160
广东卫视4K: http://124.116.170.138:8081/rtp/239.111.205.103:5140?$3840x2160
深圳卫视4K: http://124.116.170.138:8081/rtp/239.111.205.104:5140?$3840x2160
四川卫视4K: http://124.116.170.138:8081/rtp/239.111.205.62:5140?$3840x2160
山东卫视4K: http://124.116.170.138:8081/rtp/239.111.205.66:5140?$3840x2160
CCTV4K: http://183.236.43.98:4111/udp/239.77.0.194:5146
CCTV4K: http://183.236.43.98:4111/udp/239.77.0.174:5146
CCTV4K: http://27.184.65.134:58888/rtp/239.254.201.67:6000
CCTV16: http://nas.201606.xyz:4022/rtp/239.10.0.187:5140
CCTV16: http://nas.201606.xyz:4022/udp/239.11.0.67:5140
北京卫视4K: https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s110/index.m3u8?time=1759585819&sign=08927665bd99bb1f73d2e1600101236f
北京卫视4K: http://nas.201606.xyz:4022/rtp/239.10.0.91:5140
北京卫视4K: http://nas.201606.xyz:4022/rtp/239.10.0.92:5140
北京卫视4K: http://220.169.109.72:802/udp/239.76.253.246:9000
北京卫视4K: http://49.235.65.250:600/beijing/beijing.php?id=bjws4k
北京IPTV4K: http://39.134.135.80/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/1.m3u8?zoneoffset=480&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~Q8NsqL2Ii48SUgC4QMl6hh6MtnXuZ2CwNhT-dTFoMLL2G3Q2BYmATYXRv1nKmDi5C1jJAt50zoNF4cIM-01_7rCa0ZemjVk37nsYr4Zr0bk~ExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240802122114%2C162944%2C119.123.69.186%2C20240802122114%2C10000100000000050000000003887500%2C162944%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000007266388_0%2CEND&GuardEncType=2&RTS=1729247386&from=6&ocs=2_39.135.238.65_80&popid=6&hms_devid=3771&prioritypopid=6&vqe=31%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000007266388_0%2CEND&GuardEncType=2&RTS=1729247386&from=6&ocs=2_39.135.238.65_80&popid=6&hms_devid=3771&prioritypopid=6&vqe=3
北京IPTV4K: http://[2409:8087:1:20:20::26]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
